State Imports by HS Commodities,,,,,,,
Current date: 07/30/2025 1:59 PM (Eastern Daylight Time),,,,,,,
State,Commodity,Country,Time,Vessel Value ($US),Customs Containerized Vessel Value (Gen) ($US),Vessel SWT (kg),Containerized Vessel SWT (Gen) (kg)
Iowa,02 Meat And Edible Meat Offal,South America,Dec-20,"342,103","342,103","70,559","70,559"
Iowa,02 Meat And Edible Meat Offal,South America,Mar-21,"121,724","121,724","19,921","19,921"
Iowa,02 Meat And Edible Meat Offal,South America,Apr-21,"119,993","119,993","19,643","19,643"
Iowa,02 Meat And Edible Meat Offal,South America,May-21,"642,116","642,116","84,142","84,142"
Iowa,02 Meat And Edible Meat Offal,South America,Jun-21,"173,133","173,133","19,772","19,772"
Iowa,02 Meat And Edible Meat Offal,South America,Aug-21,"139,065","139,065","19,078","19,078"
Iowa,02 Meat And Edible Meat Offal,South America,Nov-21,"310,548","310,548","24,833","24,833"
Iowa,02 Meat And Edible Meat Offal,South America,Dec-21,"209,411","209,411","26,500","26,500"
Iowa,02 Meat And Edible Meat Offal,South America,Jan-22,"310,548","310,548","24,833","24,833"
Iowa,02 Meat And Edible Meat Offal,South America,Jun-22,"219,106","219,106","18,047","18,047"
Iowa,02 Meat And Edible Meat Offal,South America,Jan-24,"83,945","83,945","13,585","13,585"
Iowa,02 Meat And Edible Meat Offal,South America,Apr-24,"120,757","120,757","26,238","26,238"
Iowa,"03 Fish, Crustaceans & Aquatic Invertebrates",Africa,Dec-20,"20,660","20,660","13,360","13,360"
Iowa,"03 Fish, Crustaceans & Aquatic Invertebrates",Asia - Other,Jun-08,"100,140","100,140","18,000","18,000"
Iowa,"03 Fish, Crustaceans & Aquatic Invertebrates",Asia - Other,Aug-08,"52,457","52,457","8,094","8,094"
Iowa,"03 Fish, Crustaceans & Aquatic Invertebrates",Asia - Other,Jan-09,"34,976","34,976","9,044","9,044"
Iowa,"03 Fish, Crustaceans & Aquatic Invertebrates",Asia - Other,Jun-09,"35,290","35,290","23,492","23,492"
Iowa,"03 Fish, Crustaceans & Aquatic Invertebrates",Asia - Other,Jul-09,"122,486","122,486","71,290","71,290"
Iowa,"03 Fish, Crustaceans & Aquatic Invertebrates",Asia - Other,Aug-09,"29,568","29,568","20,900","20,900"
Iowa,"03 Fish, Crustaceans & Aquatic Invertebrates",Asia - Other,Sep-09,"73,969","73,969","18,673","18,673"
Iowa,"03 Fish, Crustaceans & Aquatic Invertebrates",Asia - Other,Oct-09,"280,071","280,071","62,266","62,266"
Iowa,"03 Fish, Crustaceans & Aquatic Invertebrates",Asia - Other,Nov-09,"11,780","11,780","3,866","3,866"
Iowa,"03 Fish, Crustaceans & Aquatic Invertebrates",Asia - Other,Dec-09,"26,880","26,880","23,000","23,000"
Iowa,"03 Fish, Crustaceans & Aquatic Invertebrates",Asia - Other,May-10,"13,938","13,938","4,485","4,485"
Iowa,"03 Fish, Crustaceans & Aquatic Invertebrates",Asia - Other,Jun-10,"71,976","71,976","47,642","47,642"
Iowa,"03 Fish, Crustaceans & Aquatic Invertebrates",Asia - Other,Jul-10,"30,249","30,249","21,850","21,850"
Iowa,"03 Fish, Crustaceans & Aquatic Invertebrates",Asia - Other,Aug-10,"31,799","31,799","22,000","22,000"
Iowa,"03 Fish, Crustaceans & Aquatic Invertebrates",Asia - Other,Sep-10,"24,765","24,765","5,850","5,850"
Iowa,"03 Fish, Crustaceans & Aquatic Invertebrates",Asia - Other,Oct-10,"67,395","67,395","31,066","31,066"
Iowa,"03 Fish, Crustaceans & Aquatic Invertebrates",Asia - Other,Dec-10,"80,978","80,978","46,100","46,100"
Iowa,"03 Fish, Crustaceans & Aquatic Invertebrates",Asia - Other,Feb-11,"86,608","86,608","43,920","43,920"
Iowa,"03 Fish, Crustaceans & Aquatic Invertebrates",Asia - Other,Mar-11,"77,274","77,274","29,220","29,220"
Iowa,"03 Fish, Crustaceans & Aquatic Invertebrates",Asia - Other,Jul-11,"348,978","348,978","102,826","102,826"
Iowa,"03 Fish, Crustaceans & Aquatic Invertebrates",Asia - Other,Aug-11,"138,215","138,215","67,147","67,147"
Iowa,"03 Fish, Crustaceans & Aquatic Invertebrates",Asia - Other,Oct-11,"13,781","13,781","2,122","2,122"
Iowa,"03 Fish, Crustaceans & Aquatic Invertebrates",Asia - Other,Nov-11,"42,974","42,974","8,566","8,566"
Iowa,"03 Fish, Crustaceans & Aquatic Invertebrates",Asia - Other,Jan-12,"91,190","91,190","24,000","24,000"
Iowa,"03 Fish, Crustaceans & Aquatic Invertebrates",Asia - Other,Apr-12,"118,080","118,080","25,000","25,000"
Iowa,"03 Fish, Crustaceans & Aquatic Invertebrates",Asia - Other,Jun-12,"72,642","72,642","42,911","42,911"
Iowa,"03 Fish, Crustaceans & Aquatic Invertebrates",Asia - Other,Jul-12,"70,090","70,090","24,115","24,115"
Iowa,"03 Fish, Crustaceans & Aquatic Invertebrates",Asia - Other,Aug-12,"60,720","60,720","23,012","23,012"
Iowa,"03 Fish, Crustaceans & Aquatic Invertebrates",Asia - Other,Oct-12,"74,360","74,360","44,000","44,000"
Iowa,"03 Fish, Crustaceans & Aquatic Invertebrates",Asia - Other,Sep-13,"42,960","42,960","24,000","24,000"
Iowa,"03 Fish, Crustaceans & Aquatic Invertebrates",Asia - Other,Sep-14,"70,097","70,097","15,507","15,507"
Iowa,"03 Fish, Crustaceans & Aquatic Invertebrates",Asia - Other,Sep-15,"63,940","63,940","22,572","22,572"
Iowa,"03 Fish, Crustaceans & Aquatic Invertebrates",Asia - Other,Sep-16,"35,240","35,240","22,800","22,800"
Iowa,"03 Fish, Crustaceans & Aquatic Invertebrates",Asia - Other,Oct-16,"63,380","63,380","23,520","23,520"
Iowa,"03 Fish, Crustaceans & Aquatic Invertebrates",Asia - Other,Jan-17,"30,400","30,400","23,500","23,500"
Iowa,"03 Fish, Crustaceans & Aquatic Invertebrates",Asia - Other,Dec-17,"33,440","33,440","21,450","21,450"
Iowa,"03 Fish, Crustaceans & Aquatic Invertebrates",Asia - Other,Feb-18,"9,450","9,450",924,924
Iowa,"03 Fish, Crustaceans & Aquatic Invertebrates",Asia - Other,Jun-19,"22,680","22,680","1,442","1,442"
Iowa,"03 Fish, Crustaceans & Aquatic Invertebrates",Asia - Other,Feb-20,"48,871","48,871","22,220","22,220"
Iowa,"03 Fish, Crustaceans & Aquatic Invertebrates",Asia - Other,Mar-21,"22,680","22,680","1,462","1,462"
Iowa,"03 Fish, Crustaceans & Aquatic Invertebrates",Asia - Other,Sep-21,"74,149","74,149","24,697","24,697"
